timestamp,interceptor_flow_gpm
2023-10-17,616941.6674373534
2023-10-18,707841.9619136973
2023-10-19,816283.8351594171
2023-10-20,774875.8756933454
2023-10-21,751313.3072162088
2023-10-22,646639.0529530612
2023-10-23,589442.4900913382
2023-10-24,556287.7224797743
2023-10-25,563236.1206858234
2023-10-26,529284.62226683
2023-10-27,524068.4290772482
2023-10-28,519341.0765837205
2023-10-29,564861.4059222259
2023-10-30,481918.06576144457
2023-10-31,487941.8415224958
2023-11-01,496147.1254992377
2023-11-02,464988.0165525162
2023-11-03,468968.33693457453
2023-11-04,458101.6242465542
2023-11-05,445487.95043379115
2023-11-06,459461.8652536157
2023-11-07,406281.83926448703
2023-11-08,442942.2199618875
2023-11-09,464272.90617923945
2023-11-10,474320.3003083602
2023-11-11,461201.1641836864
2023-11-12,512473.87610816886
2023-11-13,493237.49454856856
2023-11-14,493628.3072311415
2023-11-15,490371.1194919354
2023-11-16,475553.1296940219
2023-11-17,487497.91748295724
2023-11-18,498600.0078160324
2023-11-19,498272.7714061281
2023-11-20,489571.6123359159
2023-11-21,621509.6557930439
2023-11-22,1811983.2952199553
2023-11-23,2177966.417621454
2023-11-24,4708890.733302066
2023-11-25,4155343.6403144384
2023-11-26,3086363.8080168455
2023-11-27,2276951.2518579382
2023-11-28,1786499.50038169
2023-11-29,1456127.8403830964
2023-11-30,1240848.7417370786
2023-12-01,1122214.56218997
2023-12-02,1047984.0506131267
2023-12-03,1169658.6603210904
2023-12-04,1145795.1862227595
2023-12-05,1045021.1763707885
2023-12-06,1058044.7010672353
2023-12-07,1043871.8642250693
2023-12-08,987051.1214305118
2023-12-09,1027019.06417449
2023-12-10,1077582.56323487
2023-12-11,2726688.9535435056
2023-12-12,2628770.668178138
2023-12-13,3091906.817897138
2023-12-14,3512210.3256680067
2023-12-15,3068808.619313146
2023-12-16,2513656.1489195973
2023-12-17,2293686.457307552
2023-12-18,7856807.7288608365
2023-12-19,9420865.15656051
2023-12-20,8351646.34422968
2023-12-21,6232909.49637034
2023-12-22,4626128.114397414
2023-12-23,3556460.3707205923
2023-12-24,2977827.9150933432
2023-12-25,2551840.8925183425
2023-12-26,2282735.5734321475
2023-12-27,2492021.6031165137
2023-12-28,3361989.9920648653
2023-12-29,3444744.8815643713
2023-12-30,4574614.730673663
2023-12-31,4576994.944404214
2024-01-01,4007621.4895498543
